,REF_DATE,GEO,Sex,Age group,Income source,Statistics,SCALAR_FACTOR,VALUE
258229,1982,"Winnipeg, Manitoba",Females,25 to 34 years,Total income,Median income (excluding zeros),units,26700.0
258304,1982,"Winnipeg, Manitoba",Both sexes,35 to 44 years,Total income,Median income (excluding zeros),units,43400.0
258379,1982,"Winnipeg, Manitoba",Males,35 to 44 years,Total income,Median income (excluding zeros),units,63400.0
258454,1982,"Winnipeg, Manitoba",Females,35 to 44 years,Total income,Median income (excluding zeros),units,28700.0
258529,1982,"Winnipeg, Manitoba",Both sexes,45 to 54 years,Total income,Median income (excluding zeros),units,42400.0
258604,1982,"Winnipeg, Manitoba",Males,45 to 54 years,Total income,Median income (excluding zeros),units,61600.0
258679,1982,"Winnipeg, Manitoba",Females,45 to 54 years,Total income,Median income (excluding zeros),units,22400.0
258754,1982,"Winnipeg, Manitoba",Both sexes,55 to 64 years,Total income,Median income (excluding zeros),units,38300.0
258829,1982,"Winnipeg, Manitoba",Males,55 to 64 years,Total income,Median income (excluding zeros),units,54800.0
258904,1982,"Winnipeg, Manitoba",Females,55 to 64 years,Total income,Median income (excluding zeros),units,19100.0
258979,1982,"Winnipeg, Manitoba",Both sexes,65 years and over,Total income,Median income (excluding zeros),units,20000.0
259054,1982,"Winnipeg, Manitoba",Males,65 years and over,Total income,Median income (excluding zeros),units,26200.0
259129,1982,"Winnipeg, Manitoba",Females,65 years and over,Total income,Median income (excluding zeros),units,16900.0
259204,1982,"Calgary, Alberta",Both sexes,16 years and over,Total income,Median income (excluding zeros),units,41200.0
259279,1982,"Calgary, Alberta",Males,16 years and over,Total income,Median income (excluding zeros),units,58300.0
259354,1982,"Calgary, Alberta",Females,16 years and over,Total income,Median income (excluding zeros),units,29200.0
259429,1982,"Calgary, Alberta",Both sexes,16 to 24 years,Total income,Median income (excluding zeros),units,23600.0
259504,1982,"Calgary, Alberta",Males,16 to 24 years,Total income,Median income (excluding zeros),units,23800.0
259579,1982,"Calgary, Alberta",Females,16 to 24 years,Total income,Median income (excluding zeros),units,22600.0
259654,1982,"Calgary, Alberta",Both sexes,25 to 54 years,Total income,Median income (excluding zeros),units,53800.0
259729,1982,"Calgary, Alberta",Males,25 to 54 years,Total income,Median income (excluding zeros),units,70800.0
259804,1982,"Calgary, Alberta",Females,25 to 54 years,Total income,Median income (excluding zeros),units,34900.0
259879,1982,"Calgary, Alberta",Both sexes,25 to 34 years,Total income,Median income (excluding zeros),units,49900.0
259954,1982,"Calgary, Alberta",Males,25 to 34 years,Total income,Median income (excluding zeros),units,62400.0
260029,1982,"Calgary, Alberta",Females,25 to 34 years,Total income,Median income (excluding zeros),units,36200.0
260104,1982,"Calgary, Alberta",Both sexes,35 to 44 years,Total income,Median income (excluding zeros),units,60700.0
260179,1982,"Calgary, Alberta",Males,35 to 44 years,Total income,Median income (excluding zeros),units,76400.0
260254,1982,"Calgary, Alberta",Females,35 to 44 years,Total income,Median income (excluding zeros),units,32800.0
260329,1982,"Calgary, Alberta",Both sexes,45 to 54 years,Total income,Median income (excluding zeros),units,56800.0
260404,1982,"Calgary, Alberta",Males,45 to 54 years,Total income,Median income (excluding zeros),units,78700.0
260479,1982,"Calgary, Alberta",Females,45 to 54 years,Total income,Median income (excluding zeros),units,34000.0
260554,1982,"Calgary, Alberta",Both sexes,55 to 64 years,Total income,Median income (excluding zeros),units,47600.0
260629,1982,"Calgary, Alberta",Males,55 to 64 years,Total income,Median income (excluding zeros),units,63400.0
260704,1982,"Calgary, Alberta",Females,55 to 64 years,Total income,Median income (excluding zeros),units,27400.0
260779,1982,"Calgary, Alberta",Both sexes,65 years and over,Total income,Median income (excluding zeros),units,22700.0
260854,1982,"Calgary, Alberta",Males,65 years and over,Total income,Median income (excluding zeros),units,36800.0
260929,1982,"Calgary, Alberta",Females,65 years and over,Total income,Median income (excluding zeros),units,18000.0
261004,1982,"Edmonton, Alberta",Both sexes,16 years and over,Total income,Median income (excluding zeros),units,37600.0
261079,1982,"Edmonton, Alberta",Males,16 years and over,Total income,Median income (excluding zeros),units,54400.0
261154,1982,"Edmonton, Alberta",Females,16 years and over,Total income,Median income (excluding zeros),units,25200.0
261229,1982,"Edmonton, Alberta",Both sexes,16 to 24 years,Total income,Median income (excluding zeros),units,22700.0
261304,1982,"Edmonton, Alberta",Males,16 to 24 years,Total income,Median income (excluding zeros),units,26700.0
261379,1982,"Edmonton, Alberta",Females,16 to 24 years,Total income,Median income (excluding zeros),units,20900.0
261454,1982,"Edmonton, Alberta",Both sexes,25 to 54 years,Total income,Median income (excluding zeros),units,51000.0
261529,1982,"Edmonton, Alberta",Males,25 to 54 years,Total income,Median income (excluding zeros),units,63500.0
261604,1982,"Edmonton, Alberta",Females,25 to 54 years,Total income,Median income (excluding zeros),units,33500.0
261679,1982,"Edmonton, Alberta",Both sexes,25 to 34 years,Total income,Median income (excluding zeros),units,49700.0
261754,1982,"Edmonton, Alberta",Males,25 to 34 years,Total income,Median income (excluding zeros),units,59700.0
261829,1982,"Edmonton, Alberta",Females,25 to 34 years,Total income,Median income (excluding zeros),units,34500.0
261904,1982,"Edmonton, Alberta",Both sexes,35 to 44 years,Total income,Median income (excluding zeros),units,51000.0
261979,1982,"Edmonton, Alberta",Males,35 to 44 years,Total income,Median income (excluding zeros),units,69500.0
262054,1982,"Edmonton, Alberta",Females,35 to 44 years,Total income,Median income (excluding zeros),units,36300.0
262129,1982,"Edmonton, Alberta",Both sexes,45 to 54 years,Total income,Median income (excluding zeros),units,52900.0
262204,1982,"Edmonton, Alberta",Males,45 to 54 years,Total income,Median income (excluding zeros),units,69900.0
262279,1982,"Edmonton, Alberta",Females,45 to 54 years,Total income,Median income (excluding zeros),units,28100.0
262354,1982,"Edmonton, Alberta",Both sexes,55 to 64 years,Total income,Median income (excluding zeros),units,38300.0
262429,1982,"Edmonton, Alberta",Males,55 to 64 years,Total income,Median income (excluding zeros),units,58300.0
262504,1982,"Edmonton, Alberta",Females,55 to 64 years,Total income,Median income (excluding zeros),units,20500.0
262579,1982,"Edmonton, Alberta",Both sexes,65 years and over,Total income,Median income (excluding zeros),units,19400.0
262654,1982,"Edmonton, Alberta",Males,65 years and over,Total income,Median income (excluding zeros),units,27600.0
262729,1982,"Edmonton, Alberta",Females,65 years and over,Total income,Median income (excluding zeros),units,16600.0
262804,1982,"Vancouver, British Columbia",Both sexes,16 years and over,Total income,Median income (excluding zeros),units,35900.0
262879,1982,"Vancouver, British Columbia",Males,16 years and over,Total income,Median income (excluding zeros),units,49800.0
262954,1982,"Vancouver, British Columbia",Females,16 years and over,Total income,Median income (excluding zeros),units,24600.0
263029,1982,"Vancouver, British Columbia",Both sexes,16 to 24 years,Total income,Median income (excluding zeros),units,20500.0
263104,1982,"Vancouver, British Columbia",Males,16 to 24 years,Total income,Median income (excluding zeros),units,22000.0
263179,1982,"Vancouver, British Columbia",Females,16 to 24 years,Total income,Median income (excluding zeros),units,20000.0
263254,1982,"Vancouver, British Columbia",Both sexes,25 to 54 years,Total income,Median income (excluding zeros),units,48600.0
263329,1982,"Vancouver, British Columbia",Males,25 to 54 years,Total income,Median income (excluding zeros),units,63200.0
263404,1982,"Vancouver, British Columbia",Females,25 to 54 years,Total income,Median income (excluding zeros),units,34400.0
263479,1982,"Vancouver, British Columbia",Both sexes,25 to 34 years,Total income,Median income (excluding zeros),units,44200.0
263554,1982,"Vancouver, British Columbia",Males,25 to 34 years,Total income,Median income (excluding zeros),units,55000.0
263629,1982,"Vancouver, British Columbia",Females,25 to 34 years,Total income,Median income (excluding zeros),units,35200.0
263704,1982,"Vancouver, British Columbia",Both sexes,35 to 44 years,Total income,Median income (excluding zeros),units,51000.0
263779,1982,"Vancouver, British Columbia",Males,35 to 44 years,Total income,Median income (excluding zeros),units,73300.0
263854,1982,"Vancouver, British Columbia",Females,35 to 44 years,Total income,Median income (excluding zeros),units,33700.0
263929,1982,"Vancouver, British Columbia",Both sexes,45 to 54 years,Total income,Median income (excluding zeros),units,51000.0
264004,1982,"Vancouver, British Columbia",Males,45 to 54 years,Total income,Median income (excluding zeros),units,70400.0
264079,1982,"Vancouver, British Columbia",Females,45 to 54 years,Total income,Median income (excluding zeros),units,33500.0
264154,1982,"Vancouver, British Columbia",Both sexes,55 to 64 years,Total income,Median income (excluding zeros),units,38100.0
264229,1982,"Vancouver, British Columbia",Males,55 to 64 years,Total income,Median income (excluding zeros),units,57500.0
264304,1982,"Vancouver, British Columbia",Females,55 to 64 years,Total income,Median income (excluding zeros),units,23900.0
264379,1982,"Vancouver, British Columbia",Both sexes,65 years and over,Total income,Median income (excluding zeros),units,17000.0
264454,1982,"Vancouver, British Columbia",Males,65 years and over,Total income,Median income (excluding zeros),units,26400.0
264529,1982,"Vancouver, British Columbia",Females,65 years and over,Total income,Median income (excluding zeros),units,15400.0
264604,1983,Canada,Both sexes,16 years and over,Total income,Median income (excluding zeros),units,28000.0
264679,1983,Canada,Males,16 years and over,Total income,Median income (excluding zeros),units,41300.0
264754,1983,Canada,Females,16 years and over,Total income,Median income (excluding zeros),units,18500.0
264829,1983,Canada,Both sexes,16 to 24 years,Total income,Median income (excluding zeros),units,12300.0
264904,1983,Canada,Males,16 to 24 years,Total income,Median income (excluding zeros),units,14500.0
264979,1983,Canada,Females,16 to 24 years,Total income,Median income (excluding zeros),units,10500.0
265054,1983,Canada,Both sexes,25 to 54 years,Total income,Median income (excluding zeros),units,41200.0
265129,1983,Canada,Males,25 to 54 years,Total income,Median income (excluding zeros),units,54300.0
265204,1983,Canada,Females,25 to 54 years,Total income,Median income (excluding zeros),units,26700.0
265279,1983,Canada,Both sexes,25 to 34 years,Total income,Median income (excluding zeros),units,37900.0
265354,1983,Canada,Males,25 to 34 years,Total income,Median income (excluding zeros),units,47400.0
265429,1983,Canada,Females,25 to 34 years,Total income,Median income (excluding zeros),units,27700.0
265504,1983,Canada,Both sexes,35 to 44 years,Total income,Median income (excluding zeros),units,44700.0
265579,1983,Canada,Males,35 to 44 years,Total income,Median income (excluding zeros),units,60600.0
265654,1983,Canada,Females,35 to 44 years,Total income,Median income (excluding zeros),units,28000.0
265729,1983,Canada,Both sexes,45 to 54 years,Total income,Median income (excluding zeros),units,41800.0
265804,1983,Canada,Males,45 to 54 years,Total income,Median income (excluding zeros),units,58900.0
265879,1983,Canada,Females,45 to 54 years,Total income,Median income (excluding zeros),units,21800.0
265954,1983,Canada,Both sexes,55 to 64 years,Total income,Median income (excluding zeros),units,32600.0
266029,1983,Canada,Males,55 to 64 years,Total income,Median income (excluding zeros),units,50300.0
266104,1983,Canada,Females,55 to 64 years,Total income,Median income (excluding zeros),units,16800.0
266179,1983,Canada,Both sexes,65 years and over,Total income,Median income (excluding zeros),units,17900.0
266254,1983,Canada,Males,65 years and over,Total income,Median income (excluding zeros),units,23300.0
266329,1983,Canada,Females,65 years and over,Total income,Median income (excluding zeros),units,15500.0
266404,1983,Atlantic provinces,Both sexes,16 years and over,Total income,Median income (excluding zeros),units,22300.0
266479,1983,Atlantic provinces,Males,16 years and over,Total income,Median income (excluding zeros),units,30000.0
266554,1983,Atlantic provinces,Females,16 years and over,Total income,Median income (excluding zeros),units,15600.0
266629,1983,Atlantic provinces,Both sexes,16 to 24 years,Total income,Median income (excluding zeros),units,11500.0
266704,1983,Atlantic provinces,Males,16 to 24 years,Total income,Median income (excluding zeros),units,14200.0
266779,1983,Atlantic provinces,Females,16 to 24 years,Total income,Median income (excluding zeros),units,8800.0
266854,1983,Atlantic provinces,Both sexes,25 to 54 years,Total income,Median income (excluding zeros),units,33100.0
266929,1983,Atlantic provinces,Males,25 to 54 years,Total income,Median income (excluding zeros),units,42600.0
267004,1983,Atlantic provinces,Females,25 to 54 years,Total income,Median income (excluding zeros),units,22200.0
267079,1983,Atlantic provinces,Both sexes,25 to 34 years,Total income,Median income (excluding zeros),units,30600.0
267154,1983,Atlantic provinces,Males,25 to 34 years,Total income,Median income (excluding zeros),units,35000.0
267229,1983,Atlantic provinces,Females,25 to 34 years,Total income,Median income (excluding zeros),units,23600.0
267304,1983,Atlantic provinces,Both sexes,35 to 44 years,Total income,Median income (excluding zeros),units,36000.0
267379,1983,Atlantic provinces,Males,35 to 44 years,Total income,Median income (excluding zeros),units,48700.0
267454,1983,Atlantic provinces,Females,35 to 44 years,Total income,Median income (excluding zeros),units,22300.0
267529,1983,Atlantic provinces,Both sexes,45 to 54 years,Total income,Median income (excluding zeros),units,34400.0
267604,1983,Atlantic provinces,Males,45 to 54 years,Total income,Median income (excluding zeros),units,46900.0
267679,1983,Atlantic provinces,Females,45 to 54 years,Total income,Median income (excluding zeros),units,19100.0
267754,1983,Atlantic provinces,Both sexes,55 to 64 years,Total income,Median income (excluding zeros),units,24800.0
267829,1983,Atlantic provinces,Males,55 to 64 years,Total income,Median income (excluding zeros),units,33100.0
267904,1983,Atlantic provinces,Females,55 to 64 years,Total income,Median income (excluding zeros),units,12900.0
267979,1983,Atlantic provinces,Both sexes,65 years and over,Total income,Median income (excluding zeros),units,15700.0
268054,1983,Atlantic provinces,Males,65 years and over,Total income,Median income (excluding zeros),units,18700.0
268129,1983,Atlantic provinces,Females,65 years and over,Total income,Median income (excluding zeros),units,14100.0
268204,1983,Newfoundland and Labrador,Both sexes,16 years and over,Total income,Median income (excluding zeros),units,23000.0
268279,1983,Newfoundland and Labrador,Males,16 years and over,Total income,Median income (excluding zeros),units,28700.0
268354,1983,Newfoundland and Labrador,Females,16 years and over,Total income,Median income (excluding zeros),units,14500.0
268429,1983,Newfoundland and Labrador,Both sexes,16 to 24 years,Total income,Median income (excluding zeros),units,12900.0
268504,1983,Newfoundland and Labrador,Males,16 to 24 years,Total income,Median income (excluding zeros),units,14800.0
268579,1983,Newfoundland and Labrador,Females,16 to 24 years,Total income,Median income (excluding zeros),units,10200.0
268654,1983,Newfoundland and Labrador,Both sexes,25 to 54 years,Total income,Median income (excluding zeros),units,30700.0
268729,1983,Newfoundland and Labrador,Males,25 to 54 years,Total income,Median income (excluding zeros),units,38600.0
268804,1983,Newfoundland and Labrador,Females,25 to 54 years,Total income,Median income (excluding zeros),units,21600.0
268879,1983,Newfoundland and Labrador,Both sexes,25 to 34 years,Total income,Median income (excluding zeros),units,28700.0
268954,1983,Newfoundland and Labrador,Males,25 to 34 years,Total income,Median income (excluding zeros),units,31300.0
269029,1983,Newfoundland and Labrador,Females,25 to 34 years,Total income,Median income (excluding zeros),units,24700.0
269104,1983,Newfoundland and Labrador,Both sexes,35 to 44 years,Total income,Median income (excluding zeros),units,35200.0
269179,1983,Newfoundland and Labrador,Males,35 to 44 years,Total income,Median income (excluding zeros),units,47500.0
269254,1983,Newfoundland and Labrador,Females,35 to 44 years,Total income,Median income (excluding zeros),units,21600.0
269329,1983,Newfoundland and Labrador,Both sexes,45 to 54 years,Total income,Median income (excluding zeros),units,30200.0
269404,1983,Newfoundland and Labrador,Males,45 to 54 years,Total income,Median income (excluding zeros),units,39000.0
269479,1983,Newfoundland and Labrador,Females,45 to 54 years,Total income,Median income (excluding zeros),units,14500.0
269554,1983,Newfoundland and Labrador,Both sexes,55 to 64 years,Total income,Median income (excluding zeros),units,27200.0
269629,1983,Newfoundland and Labrador,Males,55 to 64 years,Total income,Median income (excluding zeros),units,33100.0
269704,1983,Newfoundland and Labrador,Females,55 to 64 years,Total income,Median income (excluding zeros),units,12600.0
269779,1983,Newfoundland and Labrador,Both sexes,65 years and over,Total income,Median income (excluding zeros),units,14300.0
269854,1983,Newfoundland and Labrador,Males,65 years and over,Total income,Median income (excluding zeros),units,17100.0
269929,1983,Newfoundland and Labrador,Females,65 years and over,Total income,Median income (excluding zeros),units,13000.0
270004,1983,Prince Edward Island,Both sexes,16 years and over,Total income,Median income (excluding zeros),units,22700.0
270079,1983,Prince Edward Island,Males,16 years and over,Total income,Median income (excluding zeros),units,27600.0
270154,1983,Prince Edward Island,Females,16 years and over,Total income,Median income (excluding zeros),units,16200.0
270229,1983,Prince Edward Island,Both sexes,16 to 24 years,Total income,Median income (excluding zeros),units,9200.0
270304,1983,Prince Edward Island,Males,16 to 24 years,Total income,Median income (excluding zeros),units,18800.0
270379,1983,Prince Edward Island,Females,16 to 24 years,Total income,Median income (excluding zeros),units,8000.0
270454,1983,Prince Edward Island,Both sexes,25 to 54 years,Total income,Median income (excluding zeros),units,31300.0
270529,1983,Prince Edward Island,Males,25 to 54 years,Total income,Median income (excluding zeros),units,36700.0
270604,1983,Prince Edward Island,Females,25 to 54 years,Total income,Median income (excluding zeros),units,24800.0
270679,1983,Prince Edward Island,Both sexes,25 to 34 years,Total income,Median income (excluding zeros),units,29800.0
270754,1983,Prince Edward Island,Males,25 to 34 years,Total income,Median income (excluding zeros),units,36900.0
270829,1983,Prince Edward Island,Females,25 to 34 years,Total income,Median income (excluding zeros),units,23100.0
270904,1983,Prince Edward Island,Both sexes,35 to 44 years,Total income,Median income (excluding zeros),units,32400.0
270979,1983,Prince Edward Island,Males,35 to 44 years,Total income,Median income (excluding zeros),units,33800.0
271054,1983,Prince Edward Island,Females,35 to 44 years,Total income,Median income (excluding zeros),units,28100.0
271129,1983,Prince Edward Island,Both sexes,45 to 54 years,Total income,Median income (excluding zeros),units,31300.0
271204,1983,Prince Edward Island,Males,45 to 54 years,Total income,Median income (excluding zeros),units,36700.0
271279,1983,Prince Edward Island,Females,45 to 54 years,Total income,Median income (excluding zeros),units,23000.0
271354,1983,Prince Edward Island,Both sexes,55 to 64 years,Total income,Median income (excluding zeros),units,24900.0
271429,1983,Prince Edward Island,Males,55 to 64 years,Total income,Median income (excluding zeros),units,
271504,1983,Prince Edward Island,Females,55 to 64 years,Total income,Median income (excluding zeros),units,
271579,1983,Prince Edward Island,Both sexes,65 years and over,Total income,Median income (excluding zeros),units,16800.0
271654,1983,Prince Edward Island,Males,65 years and over,Total income,Median income (excluding zeros),units,19300.0
271729,1983,Prince Edward Island,Females,65 years and over,Total income,Median income (excluding zeros),units,15500.0
271804,1983,Nova Scotia,Both sexes,16 years and over,Total income,Median income (excluding zeros),units,23900.0
271879,1983,Nova Scotia,Males,16 years and over,Total income,Median income (excluding zeros),units,32900.0
271954,1983,Nova Scotia,Females,16 years and over,Total income,Median income (excluding zeros),units,16100.0
272029,1983,Nova Scotia,Both sexes,16 to 24 years,Total income,Median income (excluding zeros),units,11900.0
272104,1983,Nova Scotia,Males,16 to 24 years,Total income,Median income (excluding zeros),units,14500.0
272179,1983,Nova Scotia,Females,16 to 24 years,Total income,Median income (excluding zeros),units,9200.0
272254,1983,Nova Scotia,Both sexes,25 to 54 years,Total income,Median income (excluding zeros),units,34900.0
272329,1983,Nova Scotia,Males,25 to 54 years,Total income,Median income (excluding zeros),units,46500.0
272404,1983,Nova Scotia,Females,25 to 54 years,Total income,Median income (excluding zeros),units,23100.0
272479,1983,Nova Scotia,Both sexes,25 to 34 years,Total income,Median income (excluding zeros),units,33500.0
272554,1983,Nova Scotia,Males,25 to 34 years,Total income,Median income (excluding zeros),units,37900.0
272629,1983,Nova Scotia,Females,25 to 34 years,Total income,Median income (excluding zeros),units,25700.0
272704,1983,Nova Scotia,Both sexes,35 to 44 years,Total income,Median income (excluding zeros),units,38200.0
272779,1983,Nova Scotia,Males,35 to 44 years,Total income,Median income (excluding zeros),units,50900.0
272854,1983,Nova Scotia,Females,35 to 44 years,Total income,Median income (excluding zeros),units,22300.0
272929,1983,Nova Scotia,Both sexes,45 to 54 years,Total income,Median income (excluding zeros),units,37800.0
273004,1983,Nova Scotia,Males,45 to 54 years,Total income,Median income (excluding zeros),units,53000.0
273079,1983,Nova Scotia,Females,45 to 54 years,Total income,Median income (excluding zeros),units,20700.0
273154,1983,Nova Scotia,Both sexes,55 to 64 years,Total income,Median income (excluding zeros),units,23000.0
273229,1983,Nova Scotia,Males,55 to 64 years,Total income,Median income (excluding zeros),units,36300.0
273304,1983,Nova Scotia,Females,55 to 64 years,Total income,Median income (excluding zeros),units,12600.0
273379,1983,Nova Scotia,Both sexes,65 years and over,Total income,Median income (excluding zeros),units,17600.0
273454,1983,Nova Scotia,Males,65 years and over,Total income,Median income (excluding zeros),units,21700.0
273529,1983,Nova Scotia,Females,65 years and over,Total income,Median income (excluding zeros),units,15100.0
273604,1983,New Brunswick,Both sexes,16 years and over,Total income,Median income (excluding zeros),units,20600.0
273679,1983,New Brunswick,Males,16 years and over,Total income,Median income (excluding zeros),units,28400.0
273754,1983,New Brunswick,Females,16 years and over,Total income,Median income (excluding zeros),units,14800.0
273829,1983,New Brunswick,Both sexes,16 to 24 years,Total income,Median income (excluding zeros),units,9800.0
273904,1983,New Brunswick,Males,16 to 24 years,Total income,Median income (excluding zeros),units,12600.0
273979,1983,New Brunswick,Females,16 to 24 years,Total income,Median income (excluding zeros),units,8200.0
274054,1983,New Brunswick,Both sexes,25 to 54 years,Total income,Median income (excluding zeros),units,32100.0
274129,1983,New Brunswick,Males,25 to 54 years,Total income,Median income (excluding zeros),units,42700.0
274204,1983,New Brunswick,Females,25 to 54 years,Total income,Median income (excluding zeros),units,21500.0
274279,1983,New Brunswick,Both sexes,25 to 34 years,Total income,Median income (excluding zeros),units,29000.0
274354,1983,New Brunswick,Males,25 to 34 years,Total income,Median income (excluding zeros),units,35300.0
274429,1983,New Brunswick,Females,25 to 34 years,Total income,Median income (excluding zeros),units,22100.0
274504,1983,New Brunswick,Both sexes,35 to 44 years,Total income,Median income (excluding zeros),units,37400.0
274579,1983,New Brunswick,Males,35 to 44 years,Total income,Median income (excluding zeros),units,46900.0
274654,1983,New Brunswick,Females,35 to 44 years,Total income,Median income (excluding zeros),units,21800.0
274729,1983,New Brunswick,Both sexes,45 to 54 years,Total income,Median income (excluding zeros),units,33100.0
274804,1983,New Brunswick,Males,45 to 54 years,Total income,Median income (excluding zeros),units,47600.0
274879,1983,New Brunswick,Females,45 to 54 years,Total income,Median income (excluding zeros),units,18400.0
274954,1983,New Brunswick,Both sexes,55 to 64 years,Total income,Median income (excluding zeros),units,24800.0
275029,1983,New Brunswick,Males,55 to 64 years,Total income,Median income (excluding zeros),units,32100.0
275104,1983,New Brunswick,Females,55 to 64 years,Total income,Median income (excluding zeros),units,13000.0
275179,1983,New Brunswick,Both sexes,65 years and over,Total income,Median income (excluding zeros),units,14600.0
275254,1983,New Brunswick,Males,65 years and over,Total income,Median income (excluding zeros),units,16500.0
275329,1983,New Brunswick,Females,65 years and over,Total income,Median income (excluding zeros),units,13800.0
275404,1983,Quebec,Both sexes,16 years and over,Total income,Median income (excluding zeros),units,26200.0
275479,1983,Quebec,Males,16 years and over,Total income,Median income (excluding zeros),units,38800.0
275554,1983,Quebec,Females,16 years and over,Total income,Median income (excluding zeros),units,17500.0
275629,1983,Quebec,Both sexes,16 to 24 years,Total income,Median income (excluding zeros),units,11900.0
275704,1983,Quebec,Males,16 to 24 years,Total income,Median income (excluding zeros),units,12900.0
275779,1983,Quebec,Females,16 to 24 years,Total income,Median income (excluding zeros),units,11200.0
275854,1983,Quebec,Both sexes,25 to 54 years,Total income,Median income (excluding zeros),units,38900.0
275929,1983,Quebec,Males,25 to 54 years,Total income,Median income (excluding zeros),units,50200.0
276004,1983,Quebec,Females,25 to 54 years,Total income,Median income (excluding zeros),units,23800.0
276079,1983,Quebec,Both sexes,25 to 34 years,Total income,Median income (excluding zeros),units,35000.0
276154,1983,Quebec,Males,25 to 34 years,Total income,Median income (excluding zeros),units,45100.0
276229,1983,Quebec,Females,25 to 34 years,Total income,Median income (excluding zeros),units,24400.0
276304,1983,Quebec,Both sexes,35 to 44 years,Total income,Median income (excluding zeros),units,44500.0
276379,1983,Quebec,Males,35 to 44 years,Total income,Median income (excluding zeros),units,58400.0
276454,1983,Quebec,Females,35 to 44 years,Total income,Median income (excluding zeros),units,28800.0
276529,1983,Quebec,Both sexes,45 to 54 years,Total income,Median income (excluding zeros),units,36200.0
276604,1983,Quebec,Males,45 to 54 years,Total income,Median income (excluding zeros),units,52500.0
276679,1983,Quebec,Females,45 to 54 years,Total income,Median income (excluding zeros),units,18000.0
276754,1983,Quebec,Both sexes,55 to 64 years,Total income,Median income (excluding zeros),units,30500.0
276829,1983,Quebec,Males,55 to 64 years,Total income,Median income (excluding zeros),units,46900.0
276904,1983,Quebec,Females,55 to 64 years,Total income,Median income (excluding zeros),units,14000.0
276979,1983,Quebec,Both sexes,65 years and over,Total income,Median income (excluding zeros),units,16500.0
277054,1983,Quebec,Males,65 years and over,Total income,Median income (excluding zeros),units,22600.0
277129,1983,Quebec,Females,65 years and over,Total income,Median income (excluding zeros),units,14300.0
277204,1983,Ontario,Both sexes,16 years and over,Total income,Median income (excluding zeros),units,29600.0
277279,1983,Ontario,Males,16 years and over,Total income,Median income (excluding zeros),units,42900.0
277354,1983,Ontario,Females,16 years and over,Total income,Median income (excluding zeros),units,19200.0
277429,1983,Ontario,Both sexes,16 to 24 years,Total income,Median income (excluding zeros),units,11000.0
277504,1983,Ontario,Males,16 to 24 years,Total income,Median income (excluding zeros),units,12600.0
277579,1983,Ontario,Females,16 to 24 years,Total income,Median income (excluding zeros),units,9000.0
277654,1983,Ontario,Both sexes,25 to 54 years,Total income,Median income (excluding zeros),units,42700.0
277729,1983,Ontario,Males,25 to 54 years,Total income,Median income (excluding zeros),units,56300.0
277804,1983,Ontario,Females,25 to 54 years,Total income,Median income (excluding zeros),units,28700.0
277879,1983,Ontario,Both sexes,25 to 34 years,Total income,Median income (excluding zeros),units,39200.0
277954,1983,Ontario,Males,25 to 34 years,Total income,Median income (excluding zeros),units,49000.0
278029,1983,Ontario,Females,25 to 34 years,Total income,Median income (excluding zeros),units,29800.0
278104,1983,Ontario,Both sexes,35 to 44 years,Total income,Median income (excluding zeros),units,46200.0
278179,1983,Ontario,Males,35 to 44 years,Total income,Median income (excluding zeros),units,63300.0
278254,1983,Ontario,Females,35 to 44 years,Total income,Median income (excluding zeros),units,29600.0
278329,1983,Ontario,Both sexes,45 to 54 years,Total income,Median income (excluding zeros),units,45800.0
278404,1983,Ontario,Males,45 to 54 years,Total income,Median income (excluding zeros),units,61500.0
278479,1983,Ontario,Females,45 to 54 years,Total income,Median income (excluding zeros),units,24200.0
278554,1983,Ontario,Both sexes,55 to 64 years,Total income,Median income (excluding zeros),units,36700.0
278629,1983,Ontario,Males,55 to 64 years,Total income,Median income (excluding zeros),units,52800.0
278704,1983,Ontario,Females,55 to 64 years,Total income,Median income (excluding zeros),units,20700.0
278779,1983,Ontario,Both sexes,65 years and over,Total income,Median income (excluding zeros),units,18700.0
278854,1983,Ontario,Males,65 years and over,Total income,Median income (excluding zeros),units,25700.0
278929,1983,Ontario,Females,65 years and over,Total income,Median income (excluding zeros),units,16500.0
279004,1983,Prairie provinces,Both sexes,16 years and over,Total income,Median income (excluding zeros),units,29700.0
279079,1983,Prairie provinces,Males,16 years and over,Total income,Median income (excluding zeros),units,42800.0
279154,1983,Prairie provinces,Females,16 years and over,Total income,Median income (excluding zeros),units,19400.0
279229,1983,Prairie provinces,Both sexes,16 to 24 years,Total income,Median income (excluding zeros),units,16400.0
279304,1983,Prairie provinces,Males,16 to 24 years,Total income,Median income (excluding zeros),units,20000.0
279379,1983,Prairie provinces,Females,16 to 24 years,Total income,Median income (excluding zeros),units,12900.0
279454,1983,Prairie provinces,Both sexes,25 to 54 years,Total income,Median income (excluding zeros),units,41300.0
279529,1983,Prairie provinces,Males,25 to 54 years,Total income,Median income (excluding zeros),units,57400.0
279604,1983,Prairie provinces,Females,25 to 54 years,Total income,Median income (excluding zeros),units,26900.0
279679,1983,Prairie provinces,Both sexes,25 to 34 years,Total income,Median income (excluding zeros),units,39000.0
279754,1983,Prairie provinces,Males,25 to 34 years,Total income,Median income (excluding zeros),units,51000.0
