,REF_DATE,GEO,Sex,Age group,Income source,Statistics,SCALAR_FACTOR,VALUE
4354,1976,Newfoundland and Labrador,Males,25 to 34 years,Total income,Median income (excluding zeros),units,39900.0
4429,1976,Newfoundland and Labrador,Females,25 to 34 years,Total income,Median income (excluding zeros),units,17100.0
4504,1976,Newfoundland and Labrador,Both sexes,35 to 44 years,Total income,Median income (excluding zeros),units,40700.0
4579,1976,Newfoundland and Labrador,Males,35 to 44 years,Total income,Median income (excluding zeros),units,51000.0
4654,1976,Newfoundland and Labrador,Females,35 to 44 years,Total income,Median income (excluding zeros),units,17200.0
4729,1976,Newfoundland and Labrador,Both sexes,45 to 54 years,Total income,Median income (excluding zeros),units,35100.0
4804,1976,Newfoundland and Labrador,Males,45 to 54 years,Total income,Median income (excluding zeros),units,51100.0
4879,1976,Newfoundland and Labrador,Females,45 to 54 years,Total income,Median income (excluding zeros),units,13900.0
4954,1976,Newfoundland and Labrador,Both sexes,55 to 64 years,Total income,Median income (excluding zeros),units,22500.0
5029,1976,Newfoundland and Labrador,Males,55 to 64 years,Total income,Median income (excluding zeros),units,32100.0
5104,1976,Newfoundland and Labrador,Females,55 to 64 years,Total income,Median income (excluding zeros),units,10300.0
5179,1976,Newfoundland and Labrador,Both sexes,65 years and over,Total income,Median income (excluding zeros),units,12200.0
5254,1976,Newfoundland and Labrador,Males,65 years and over,Total income,Median income (excluding zeros),units,12600.0
5329,1976,Newfoundland and Labrador,Females,65 years and over,Total income,Median income (excluding zeros),units,11900.0
5404,1976,Prince Edward Island,Both sexes,16 years and over,Total income,Median income (excluding zeros),units,20600.0
5479,1976,Prince Edward Island,Males,16 years and over,Total income,Median income (excluding zeros),units,34300.0
5554,1976,Prince Edward Island,Females,16 years and over,Total income,Median income (excluding zeros),units,10700.0
5629,1976,Prince Edward Island,Both sexes,16 to 24 years,Total income,Median income (excluding zeros),units,10000.0
5704,1976,Prince Edward Island,Males,16 to 24 years,Total income,Median income (excluding zeros),units,10000.0
5779,1976,Prince Edward Island,Females,16 to 24 years,Total income,Median income (excluding zeros),units,6400.0
5854,1976,Prince Edward Island,Both sexes,25 to 54 years,Total income,Median income (excluding zeros),units,34500.0
5929,1976,Prince Edward Island,Males,25 to 54 years,Total income,Median income (excluding zeros),units,47400.0
6004,1976,Prince Edward Island,Females,25 to 54 years,Total income,Median income (excluding zeros),units,22900.0
6079,1976,Prince Edward Island,Both sexes,25 to 34 years,Total income,Median income (excluding zeros),units,34600.0
6154,1976,Prince Edward Island,Males,25 to 34 years,Total income,Median income (excluding zeros),units,49300.0
6229,1976,Prince Edward Island,Females,25 to 34 years,Total income,Median income (excluding zeros),units,29300.0
6304,1976,Prince Edward Island,Both sexes,35 to 44 years,Total income,Median income (excluding zeros),units,33000.0
6379,1976,Prince Edward Island,Males,35 to 44 years,Total income,Median income (excluding zeros),units,58400.0
6454,1976,Prince Edward Island,Females,35 to 44 years,Total income,Median income (excluding zeros),units,
6529,1976,Prince Edward Island,Both sexes,45 to 54 years,Total income,Median income (excluding zeros),units,36500.0
6604,1976,Prince Edward Island,Males,45 to 54 years,Total income,Median income (excluding zeros),units,
6679,1976,Prince Edward Island,Females,45 to 54 years,Total income,Median income (excluding zeros),units,
6754,1976,Prince Edward Island,Both sexes,55 to 64 years,Total income,Median income (excluding zeros),units,22100.0
6829,1976,Prince Edward Island,Males,55 to 64 years,Total income,Median income (excluding zeros),units,
6904,1976,Prince Edward Island,Females,55 to 64 years,Total income,Median income (excluding zeros),units,
6979,1976,Prince Edward Island,Both sexes,65 years and over,Total income,Median income (excluding zeros),units,12500.0
7054,1976,Prince Edward Island,Males,65 years and over,Total income,Median income (excluding zeros),units,
7129,1976,Prince Edward Island,Females,65 years and over,Total income,Median income (excluding zeros),units,
7204,1976,Nova Scotia,Both sexes,16 years and over,Total income,Median income (excluding zeros),units,25900.0
7279,1976,Nova Scotia,Males,16 years and over,Total income,Median income (excluding zeros),units,38600.0
7354,1976,Nova Scotia,Females,16 years and over,Total income,Median income (excluding zeros),units,14800.0
7429,1976,Nova Scotia,Both sexes,16 to 24 years,Total income,Median income (excluding zeros),units,12900.0
7504,1976,Nova Scotia,Males,16 to 24 years,Total income,Median income (excluding zeros),units,15300.0
7579,1976,Nova Scotia,Females,16 to 24 years,Total income,Median income (excluding zeros),units,11300.0
7654,1976,Nova Scotia,Both sexes,25 to 54 years,Total income,Median income (excluding zeros),units,40600.0
7729,1976,Nova Scotia,Males,25 to 54 years,Total income,Median income (excluding zeros),units,52300.0
7804,1976,Nova Scotia,Females,25 to 54 years,Total income,Median income (excluding zeros),units,24200.0
7879,1976,Nova Scotia,Both sexes,25 to 34 years,Total income,Median income (excluding zeros),units,40600.0
7954,1976,Nova Scotia,Males,25 to 34 years,Total income,Median income (excluding zeros),units,51700.0
8029,1976,Nova Scotia,Females,25 to 34 years,Total income,Median income (excluding zeros),units,21900.0
8104,1976,Nova Scotia,Both sexes,35 to 44 years,Total income,Median income (excluding zeros),units,41100.0
8179,1976,Nova Scotia,Males,35 to 44 years,Total income,Median income (excluding zeros),units,57200.0
8254,1976,Nova Scotia,Females,35 to 44 years,Total income,Median income (excluding zeros),units,23700.0
8329,1976,Nova Scotia,Both sexes,45 to 54 years,Total income,Median income (excluding zeros),units,39500.0
8404,1976,Nova Scotia,Males,45 to 54 years,Total income,Median income (excluding zeros),units,45700.0
8479,1976,Nova Scotia,Females,45 to 54 years,Total income,Median income (excluding zeros),units,31000.0
8554,1976,Nova Scotia,Both sexes,55 to 64 years,Total income,Median income (excluding zeros),units,26800.0
8629,1976,Nova Scotia,Males,55 to 64 years,Total income,Median income (excluding zeros),units,42900.0
8704,1976,Nova Scotia,Females,55 to 64 years,Total income,Median income (excluding zeros),units,10600.0
8779,1976,Nova Scotia,Both sexes,65 years and over,Total income,Median income (excluding zeros),units,13200.0
