,Income,Location,Age,Sex,Year,count,percentage,cumulative_percent
56,$125-<150k,Canada,55 to 64 years,Males,2016,108380.0,0.047674556707561155,0.09534911341512231
57,$150-<175k,Canada,55 to 64 years,Males,2016,35600.0,0.015659847008573327,0.11100896042369564
58,$175-<200k,Canada,55 to 64 years,Males,2016,35600.0,0.015659847008573327,0.12666880743226896
59,$200-225k,Canada,55 to 64 years,Males,2016,14965.0,0.0065828542270589836,0.13325166165932795
60,$25-<50k,Canada,55 to 64 years,Males,2016,590760.0,0.25986548367372975,0.3931171453330577
61,$50-<75k,Canada,55 to 64 years,Males,2016,462470.0,0.2034328496082839,0.5965499949413415
62,$75-<100k,Canada,55 to 64 years,Males,2016,264780.0,0.1164723115429788,0.7130223064843203
63,0-<25k,Canada,55 to 64 years,Males,2016,588710.0,0.25896372282070795,0.9719860293050282
64,225-250k,Canada,55 to 64 years,Males,2016,14965.0,0.0065828542270589836,0.9785688835320872
65,>250k,Canada,55 to 64 years,Males,2016,48720.0,0.02143111646791271,0.9999999999999999
66,$100-<125k,Canada,65 years and over,Males,2016,49080.0,0.018353015084772384,0.018353015084772384
67,$125-<150k,Canada,65 years and over,Males,2016,49080.0,0.018353015084772384,0.03670603016954477
68,$150-<175k,Canada,65 years and over,Males,2016,16250.0,0.006076538205532828,0.042782568375077594
69,$175-<200k,Canada,65 years and over,Males,2016,16250.0,0.006076538205532828,0.04885910658061042
70,$200-225k,Canada,65 years and over,Males,2016,7520.0,0.002812034911114269,0.05167114149172469
71,$25-<50k,Canada,65 years and over,Males,2016,950580.0,0.3554606576871013,0.40713179917882597
72,$50-<75k,Canada,65 years and over,Males,2016,450320.0,0.16839302675172574,0.5755248259305517
73,$75-<100k,Canada,65 years and over,Males,2016,161220.0,0.06028673781513862,0.6358115637456903
74,0-<25k,Canada,65 years and over,Males,2016,938980.0,0.3511229442603825,0.9869345080060727
75,225-250k,Canada,65 years and over,Males,2016,7520.0,0.002812034911114269,0.989746542917187
76,>250k,Canada,65 years and over,Males,2016,27420.0,0.010253457082812932,0.9999999999999999
77,$100-<125k,Canada,All age groups,Females,2016,238975.0,0.01711181124914969,0.01711181124914969
78,$125-<150k,Canada,All age groups,Females,2016,238975.0,0.01711181124914969,0.03422362249829938
79,$150-<175k,Canada,All age groups,Females,2016,54170.0,0.0038788442948694997,0.03810246679316888
80,$175-<200k,Canada,All age groups,Females,2016,54170.0,0.0038788442948694997,0.041981311088038376
81,$200-225k,Canada,All age groups,Females,2016,20235.0,0.0014489277147255737,0.04343023880276395
82,$25-<50k,Canada,All age groups,Females,2016,4232880.0,0.3030954853030683,0.34652572410583227
83,$50-<75k,Canada,All age groups,Females,2016,2016800.0,0.14441301779384913,0.4909387418996814
84,$75-<100k,Canada,All age groups,Females,2016,925300.0,0.06625613118040886,0.5571948730800903
85,0-<25k,Canada,All age groups,Females,2016,6112080.0,0.43765565142673013,0.9948505245068204
